151,24211,"VA"
357,29150,"SC"
483,29150,"SC"
489,28906,"NC"
558,29526,"SC"
587,29118,"SC"
592,29560,"SC"
595,29108,"SC"
596,29440,"SC"
597,29536,"SC"
598,29379,"SC"
600,29485,"SC"
601,29501,"SC"
603,29020,"SC"
609,29341,"SC"
610,29520,"SC"
611,29572,"SC"
617,24219,"VA"
840,28110,"NC"
843,29072,"SC"
905,28602,"NC"
965,28379,"NC"
970,29102,"SC"
977,24333,"VA"
981,28027,"NC"
986,28152,"NC"
988,28043,"NC"
989,29483,"SC"
991,27030,"NC"
999,29301,"SC"
1012,28655,"NC"
1014,28645,"NC"
1044,28315,"NC"
1047,27028,"NC"
1079,28170,"NC"
1081,27203,"NC"
1082,28681,"NC"
1083,29360,"SC"
1085,28001,"NC"
1087,29550,"SC"
1097,29461,"SC"
1105,28358,"NC"
1113,29212,"SC"
1115,28337,"NC"
1125,28704,"NC"
1131,29169,"SC"
1137,28117,"NC"
1142,27278,"NC"
1146,27804,"NC"
1157,28092,"NC"
1166,28734,"NC"
1184,27534,"NC"
1185,28303,"NC"
1187,28339,"NC"
1191,28792,"NC"
1192,24112,"VA"
1199,28352,"NC"
1205,28311,"NC"
1211,28472,"NC"
1225,29307,"SC"
1226,27215,"NC"
1227,27573,"NC"
1228,29209,"SC"
1233,24073,"VA"
1234,28697,"NC"
1238,28546,"NC"
1241,28562,"NC"
1242,24273,"VA"
1244,24014,"VA"
1250,24153,"VA"
1252,28390,"NC"
1258,28805,"NC"
1262,27577,"NC"
1264,27292,"NC"
1276,24450,"VA"
1278,24354,"VA"
1279,29223,"SC"
1281,28621,"NC"
1283,24401,"VA"
1285,24592,"VA"
1286,25801,"WV"
1287,24502,"VA"
1288,28412,"NC"
1291,27889,"NC"
1292,28557,"NC"
1297,29488,"SC"
1298,28466,"NC"
1299,25840,"WV"
1302,29406,"SC"
1313,27603,"NC"
1319,27834,"NC"
1334,28056,"NC"
1335,28403,"NC"
1341,24523,"VA"
1343,22601,"VA"
1361,23834,"VA"
1390,25271,"WV"
1391,28226,"NC"
1405,28273,"NC"
1407,24540,"VA"
1418,26651,"WV"
1431,23901,"VA"
1432,27410,"NC"
1435,24901,"WV"
1442,27870,"NC"
1459,26241,"WV"
1460,23060,"VA"
1463,27909,"NC"
1464,23111,"VA"
1465,17402,"PA"
1467,23831,"VA"
1480,26301,"WV"
1483,17325,"PA"
1491,28144,"NC"
1495,27288,"NC"
1507,16148,"PA"
1515,27565,"NC"
1528,17111,"PA"
1544,17044,"PA"
1549,14626,"NY"
1550,27263,"NC"
1552,27704,"NC"
1556,14623,"NY"
1560,18702,"PA"
1568,23666,"VA"
1574,16803,"PA"
1575,27892,"NC"
1580,17837,"PA"
1590,24084,"VA"
1592,26452,"WV"
1593,16335,"PA"
1598,28504,"NC"
1599,28625,"NC"
1600,27893,"NC"
1602,28786,"NC"
1603,28205,"NC"
1607,21740,"MD"
1612,13413,"NY"
1614,19610,"PA"
1618,14424,"NY"
1619,23321,"VA"
1620,15537,"PA"
1624,23434,"VA"
1625,23452,"VA"
1631,28752,"NC"
1636,3106,"NH"
1638,25401,"WV"
1641,13165,"NY"
1648,26554,"WV"
1649,20678,"MD"
1652,20601,"MD"
1655,21601,"MD"
1659,22801,"VA"
1663,22560,"VA"
1664,14456,"NY"
1670,19901,"DE"
1672,15301,"PA"
1675,19963,"DE"
1676,14580,"NY"
1680,3878,"NH"
1682,8012,"NJ"
1683,29414,"SC"
1685,27612,"NC"
1686,3038,"NH"
1692,23061,"VA"
1693,3874,"NH"
1695,24605,"VA"
1697,15501,"PA"
1701,28470,"NC"
1702,16066,"PA"
1705,15801,"PA"
1706,27332,"NC"
1707,23602,"VA"
1710,19606,"PA"
1714,22901,"VA"
1715,26105,"WV"
1716,13045,"NY"
1718,3051,"NH"
1721,4074,"ME"
1726,28768,"NC"
1728,15857,"PA"
1729,17815,"PA"
1730,3031,"NH"
1731,4861,"ME"
1739,12078,"NY"
1741,8091,"NJ"
1744,12524,"NY"
1746,23502,"VA"
1750,27545,"NC"
1751,14513,"NY"
1753,16201,"PA"
1754,28227,"NC"
1755,17331,"PA"
1759,20109,"VA"
1760,13021,"NY"
1761,22401,"VA"
1763,29574,"SC"
1765,13090,"NY"
1767,13850,"NY"
1772,27407,"NC"
1773,23320,"VA"
1778,8755,"NJ"
1783,17202,"PA"
1784,27105,"NC"
1785,22192,"VA"
1787,4401,"ME"
1789,21921,"MD"
1797,4210,"ME"
1798,4938,"ME"
1799,21157,"MD"
1800,8053,"NJ"
1802,13601,"NY"
1803,2921,"RI"
1805,21144,"MD"
1813,18519,"PA"
1814,17050,"PA"
1816,15061,"PA"
1819,17754,"PA"
1820,16001,"PA"
1821,21801,"MD"
1822,6042,"CT"
1823,20716,"MD"
1834,20176,"VA"
1836,2719,"MA"
1837,14304,"NY"
1839,3451,"NH"
1847,2019,"MA"
1850,4457,"ME"
1852,8050,"NJ"
1854,13126,"NY"
1857,4769,"ME"
1861,3865,"NH"
1864,15904,"PA"
1865,23970,"VA"
1867,4605,"ME"
1871,12144,"NY"
1874,4011,"ME"
1875,16933,"PA"
1877,13662,"NY"
1878,26062,"WV"
1879,27910,"NC"
1880,14063,"NY"
1884,4073,"ME"
1886,27549,"NC"
1889,10940,"NY"
1894,2891,"RI"
1895,14454,"NY"
1897,23113,"VA"
1898,21001,"MD"
1899,1119,"MA"
1901,1749,"MA"
1902,3743,"NH"
1903,8724,"NJ"
1904,4730,"ME"
1905,14750,"NY"
1908,6260,"CT"
1910,20619,"MD"
1912,1247,"MA"
1914,20724,"MD"
1917,14845,"NY"
1922,12901,"NY"
1923,14420,"NY"
1927,12110,"NY"
1930,8902,"NJ"
1932,27949,"NC"
1934,28083,"NC"
1938,16127,"PA"
1940,1537,"MA"
1941,21009,"MD"
1942,4901,"ME"
1943,22033,"VA"
1945,15401,"PA"
1948,2767,"MA"
1949,6256,"CT"
1950,18657,"PA"
1951,17046,"PA"
1953,21502,"MD"
1959,25309,"WV"
1962,20166,"VA"
1964,8016,"NJ"
