"34.5038374|-97.0041868"
"33.115504|-94.184857"
"35.511165|-97.976009"
"35.681492|-90.549868"
"32.341355|-97.41514"
"34.789127|-96.65614"
"35.293369|-93.716195"
"37.461908|-89.222998"
"34.3662191|-96.1426364"
"39.243164|-94.459216"
"35.201555|-87.060372"
"33.234935|-95.914764"
"36.280919|-94.151696"
"33.0549039|-89.5669509"
"31.320306|-95.434461"
"37.7282525|-88.532915"
"38.573605|-94.857295"
"31.950346|-92.656886"
"38.814137|-90.879016"
"32.576633|-97.336527"
"35.438882|-95.974421"
"30.333624|-95.098051"
"31.683347|-96.456538"
"38.26173|-93.3713094"
"36.370696|-96.01132"
"32.689696|-95.481768"
"37.997658|-89.238137"
"39.103491|-90.318482"
"38.749971|-88.097805"
"34.308824|-88.709889"
"32.902041|-96.461769"
"37.688625|-87.900008"
"32.416996|-96.837937"
"34.454531|-93.060534"
"38.7753749|-89.952569"
"38.000853|-88.93678"
"32.739723|-96.306024"
"32.930782|-97.1017"
"35.2239804|-88.2147838"
"36.0599933|-87.3812037"
"33.540549|-97.837408"
"34.618772|-98.42438"
"35.93902|-86.819155"
"34.2420797|-88.3972337"
"37.133514|-94.478384"
"34.80428|-88.20453"
"30.716174|-94.954755"
"35.2523274|-95.1084185"
"32.42845|-93.712166"
"35.507388|-92.032234"
"34.043471|-94.319058"
"35.322508|-97.493008"
"30.642342|-97.03214"
"36.694977|-86.573045"
"30.024796|-93.844527"
"32.576044|-97.130022"
"30.713817|-95.570575"
"33.8429292|-87.254431"
"33.604067|-91.381208"
"30.763779|-94.419491"
"29.5164259|-97.4491852"
"32.333377|-96.620823"
"29.85698|-97.665477"
"30.394988|-96.071724"
"35.2179|-93.166461"
"37.271457|-87.144458"
"38.50661|-90.656737"
"30.106968|-95.233615"
"34.214766|-86.153387"
"36.948807|-86.433446"
"37.759516|-89.28315"
"34.012769|-85.987031"
"36.483717|-86.888493"
"34.7466316|-89.459003"
"34.341887|-86.500136"
"32.508119|-92.154337"
"32.7258051|-89.5474174"
"29.972971|-92.095051"
"35.452676|-86.047354"
"30.233198|-92.36465"
"33.78822|-85.765028"
"29.814155|-91.51306"
"38.462144|-90.521836"
"35.136734|-86.564496"
"30.687254|-92.260969"
"38.966414|-89.135519"
"34.119797|-93.096488"
"38.809975|-94.495531"
"33.993612|-86.093629"
"31.304425|-96.876786"
"33.971218|-86.446599"
"30.6574|-96.330396"
"32.052932|-93.68175"
"30.139992|-96.393143"
"39.077943|-93.736752"
"35.844007|-96.394808"
"39.263479|-93.963432"
"36.419232|-94.806089"
"38.358741|-90.157744"
"33.720093|-85.820134"
"34.747008|-86.675822"
"28.877997|-96.993928"
"35.668347|-88.851516"
"30.233061|-93.328042"
"37.429567|-86.880124"
"39.267994|-89.894417"
"34.291348|-92.397163"
"37.497069|-94.302316"
"37.5589096|-90.3197291"
"35.470025|-95.534337"
"33.820498|-92.435566"
"39.843391|-96.605108"
"39.846387|-95.560036"
"31.736555|-95.616596"
"33.63588|-91.80475"
"37.677977|-96.987658"
"40.82787|-97.593326"
"33.459493|-90.663215"
"29.216807|-96.292641"
"39.569337|-89.314967"
"30.134346|-95.550647"
"37.925334|-89.804487"
"33.082267|-98.58074"
"38.3531394|-91.4818482"
"32.637874|-85.421882"
"38.4342477|-92.8588751"
"32.570858|-85.49657"
"35.479083|-94.22879"
"38.674715|-90.017291"
"36.122616|-94.15276"
"33.9352|-87.840615"
"39.111569|-93.216447"
"35.987433|-96.721249"
"35.512288|-84.360078"
"32.286656|-90.046349"
"31.80172|-94.194186"
"37.372299|-95.25583"
"37.768588|-100.035792"
"37.22725|-96.992729"
"32.432088|-97.780249"
"37.273436|-97.373226"
"36.001683|-95.677254"
"36.1128042|-93.7159682"
"32.548268|-93.706324"
"33.906164|-80.378092"
"34.7030172|-86.5853922"
"39.460818|-95.751037"
"37.001223|-93.22794"
"30.340472|-94.146959"
"38.581196|-95.264337"
"30.258479|-94.216602"
"35.711749|-96.842036"
"29.089432|-97.271237"
"30.244584|-92.659001"
"31.118184|-97.870857"
"35.399753|-94.363077"
"36.084335|-87.832573"
"35.524104|-98.690842"
"35.551073|-88.810955"
"34.258167|-88.741172"
"35.640173|-97.429241"
"34.554437|-82.6786822"
"34.4955794|-87.2769413"
"26.193521|-98.2869487"
"32.542098|-94.727504"
"26.188376|-98.209872"
"32.531894|-94.78483"
"30.331402|-95.479103"
"30.263844|-91.254829"
"34.495318|-87.728925"
"31.118636|-93.274624"
"29.8834396|-97.9121923"
"35.970935|-86.495862"
"31.089533|-97.729372"
"34.2405233|-87.5987915"
"30.293263|-91.910347"
"36.627014|-88.317878"
"29.942076|-93.9937"
"33.894702|-88.989563"
"26.068984|-97.222507"
"33.850603|-98.501632"
"32.210394|-95.832943"
"30.144151|-91.943449"
"35.775172|-86.399845"
"40.162702|-97.175372"
"33.951021|-98.529274"
"33.105801|-95.595268"
"37.644053|-98.713481"
"33.2355308|-86.801229"
"39.0087859|-87.7238588"
"33.228422|-97.597203"
"32.963956|-87.171887"
"33.067154|-96.89221"
"33.093639|-96.106315"
"30.6511982|-91.1421476"
"26.301269|-98.181031"
"36.720985|-88.629795"
"32.816741|-86.609419"
"37.0540102|-88.5662728"
"33.438556|-86.080265"
"38.629436|-89.376727"
"34.61586|-86.570681"
"29.757736|-96.152552"
"34.765195|-86.592346"
"32.761895|-98.946751"
"38.7607786|-89.6842294"
"28.048113|-97.045087"
"27.489274|-97.853623"
"29.343977|-99.126629"
"37.153676|-93.299048"
"30.956855|-95.894079"
"37.484701|-86.265657"
"32.4464337|-93.8677975"
"29.395726|-100.900994"
"32.388433|-93.819215"
"29.936493|-93.941153"
"38.913092|-92.324097"
"36.570405|-89.972394"
"26.243829|-98.245074"
"38.376002|-88.38918"
"27.92242|-97.176221"
"25.975195|-97.520341"
"33.610856|-83.830231"
"30.143291|-94.014491"
