151,24211
357,29150
483,29150
489,28906
558,29526
587,29118
592,29560
595,29108
596,29440
597,29536
598,29379
600,29485
601,29501
603,29020
609,29341
610,29520
611,29572
617,24219
840,28110
843,29072
905,28602
965,28379
970,29102
977,24333
981,28027
986,28152
988,28043
989,29483
991,27030
999,29301
1012,28655
1014,28645
1044,28315
1047,27028
1079,28170
1081,27203
1082,28681
1083,29360
1085,28001
1087,29550
1097,29461
1105,28358
1113,29212
1115,28337
1125,28704
1131,29169
1137,28117
1142,27278
1146,27804
1157,28092
1166,28734
1184,27534
1185,28303
1187,28339
1191,28792
1192,24112
1199,28352
1205,28311
1211,28472
1225,29307
1226,27215
1227,27573
1228,29209
1233,24073
1234,28697
1238,28546
1241,28562
1242,24273
1244,24014
1250,24153
1252,28390
1258,28805
1262,27577
1264,27292
1276,24450
1278,24354
1279,29223
1281,28621
1283,24401
1285,24592
1286,25801
1287,24502
1288,28412
1291,27889
1292,28557
1297,29488
1298,28466
1299,25840
1302,29406
1313,27603
1319,27834
1334,28056
1335,28403
1341,24523
1343,22601
1361,23834
1390,25271
1391,28226
1405,28273
1407,24540
1418,26651
1431,23901
1432,27410
1435,24901
1442,27870
1459,26241
1460,23060
1463,27909
1464,23111
1465,17402
1467,23831
1480,26301
1483,17325
1491,28144
1495,27288
1507,16148
1515,27565
1528,17111
1544,17044
1549,14626
1550,27263
1552,27704
1556,14623
1560,18702
1568,23666
1574,16803
1575,27892
1580,17837
1590,24084
1592,26452
1593,16335
1598,28504
1599,28625
1600,27893
1602,28786
1603,28205
1607,21740
1612,13413
1614,19610
1618,14424
1619,23321
1620,15537
1624,23434
1625,23452
1631,28752
1636,3106
1638,25401
1641,13165
1648,26554
1649,20678
1652,20601
1655,21601
1659,22801
1663,22560
1664,14456
1670,19901
1672,15301
1675,19963
1676,14580
1680,3878
1682,8012
1683,29414
1685,27612
1686,3038
1692,23061
1693,3874
1695,24605
1697,15501
1701,28470
1702,16066
1705,15801
1706,27332
1707,23602
1710,19606
1714,22901
1715,26105
1716,13045
1718,3051
1721,4074
1726,28768
1728,15857
1729,17815
1730,3031
1731,4861
1739,12078
1741,8091
1744,12524
1746,23502
1750,27545
1751,14513
1753,16201
1754,28227
1755,17331
1759,20109
1760,13021
1761,22401
1763,29574
1765,13090
1767,13850
1772,27407
1773,23320
1778,8755
1783,17202
1784,27105
1785,22192
1787,4401
1789,21921
1797,4210
1798,4938
1799,21157
1800,8053
1802,13601
1803,2921
1805,21144
1813,18519
1814,17050
1816,15061
1819,17754
1820,16001
1821,21801
1822,6042
1823,20716
1834,20176
1836,2719
1837,14304
1839,3451
1847,2019
1850,4457
1852,8050
1854,13126
1857,4769
1861,3865
1864,15904
1865,23970
1867,4605
1871,12144
1874,4011
1875,16933
1877,13662
1878,26062
1879,27910
1880,14063
1884,4073
1886,27549
1889,10940
1894,2891
1895,14454
1897,23113
1898,21001
1899,1119
1901,1749
1902,3743
1903,8724
1904,4730
1905,14750
1908,6260
1910,20619
1912,1247
1914,20724
1917,14845
1922,12901
1923,14420
1927,12110
1930,8902
1932,27949
1934,28083
1938,16127
1940,1537
1941,21009
1942,4901
1943,22033
1945,15401
1948,2767
1949,6256
1950,18657
1951,17046
1953,21502
1959,25309
1962,20166
1964,8016
1965,14569
1967,21236
1968,8070
1969,4330
1971,4965
1972,16601
1977,12866
1978,3301
1980,15601
1981,27609
1982,3461
1986,18337
1988,19055
2002,26508
2006,14020
2007,7416
2008,24202
2010,13669
2011,13502
2013,2571
2014,12534
2015,18974
2022,2081
2023,12550
2025,8332
2027,8330
2028,14094
2034,12804
2037,1462
2039,13815
2042,2322
2045,2338
2046,16830
2048,3801
2052,12043
2053,3784
2054,22701
2055,28262
2056,27707
2057,1905
2058,3079
2059,3860
2060,4976
2061,19148
2062,12010
2063,18052
2064,6790
2069,12205
2070,4005
2072,1440
2073,11953
2074,1532
2075,2747
2076,14760
2078,23805
2079,6484
2080,14141
2081,19341
2082,13057
2083,18235
2084,1085
2085,8540
2086,6360
2090,4619
2092,4270
2093,1923
2096,17870
2098,2771
2102,7731
2105,22315
2109,6340
2112,17408
2113,4062
2117,18840
2119,14226
2121,29206
2126,5495
2127,2896
2129,1201
2131,16801
2132,2351
2133,19438
2134,6405
2135,21704
2136,13440
2143,25705
2144,3110
2146,27518
2150,21228
2151,18045
2155,27536
2157,2852
2158,22306
2159,18202
2160,13820
2161,8037
2162,1583
2166,12303
2169,21613
2172,19464
2176,16509
2177,21060
2179,6088
2180,15122
2181,6770
2182,2816
2183,16101
2184,13350
2185,11720
2187,5201
2188,21117
2190,8822
2193,6416
2194,15275
2196,23227
2203,24012
2210,15701
2216,1364
2217,3867
2218,14843
2220,5478
2221,17602
2224,24151
2226,17522
2227,2360
2228,2169
2230,29412
2232,12414
2233,14221
2238,20876
2240,18344
2243,18301
2244,2760
2247,6385
2248,2888
2249,12180
2250,6492
2253,3276
2258,1082
2263,3801
2266,21043
2269,14075
2271,27513
2272,3103
2274,19971
2278,12883
2280,15012
2287,21222
2288,21784
2290,20186
2291,22554
2294,28779
2297,13421
2299,19440
2300,18951
2310,19973
2317,27103
2321,26726
2325,18431
2328,17866
2339,8865
2340,28607
2342,7840
2343,15650
2346,12401
2353,21851
2356,8691
2359,17361
2360,22405
2366,17751
2367,10547
2369,23456
2370,5701
2373,17970
2377,16214
2385,18640
2386,12701
2388,21771
2394,19720
2395,21811
2399,16506
2401,22835
2402,24572
2403,25414
2407,7852
2409,17013
2413,21030
2414,28328
2415,13031
2416,8809
2418,11553
2419,6614
2420,15137
2421,14225
2429,25313
2430,16319
2433,7860
2439,15044
2442,25601
2443,19560
2456,15666
2457,1588
2461,8854
2462,3581
2465,10950
2466,3249
2468,18106
2470,23824
2472,22664
2473,24134
2477,1970
2478,19154
2480,8835
2483,4105
2484,1864
2485,24426
2488,15931
2490,15767
2497,16125
2501,5602
2502,1035
2503,3561
2506,26155
2515,26836
2518,29505
2522,27317
2523,23851
2535,6010
2545,27886
2557,2886
2561,28777
2566,21701
2568,3264
2569,24141
2571,24637
2580,28461
2590,14564
2592,19947
2595,25570
2596,27284
2600,20735
2601,23005
2602,1566
2605,29316
2606,23112
2607,22801
2608,23847
2609,25276
2610,26201
2622,23225
2623,8857
2624,26101
2628,19022
2631,26354
2635,27526
2637,8048
2641,27344
2642,12065
2644,25260
2646,26041
2647,21074
2648,6351
2649,20646
2655,14624
2666,12302
2667,8077
2678,2840
2681,17078
2686,21550
2687,6001
2688,6067
2689,1060
2690,1824
2691,2301
2692,1701
2693,10901
2695,11901
2696,16407
2697,27209
2699,6475
2700,6489
2701,13036
2704,11733
2706,11554
2709,11749
2718,29445
2719,28348
2722,21826
2727,24739
2733,19365
2739,2777
2740,6851
2747,6111
2750,1453
2771,14870
2789,20011
2816,20169
2818,8816
2839,1906
2869,23666
2872,23601
2874,7608
2888,27517
2898,2188
2909,8234
2911,23456
2912,23435
2913,26501
2915,23188
2921,15626
